ID,Y,X
1011000079,25.124477,121.475876
1011000305,25.02527,121.53623
1011000423,25.112148,121.51698
1011001195,25.078737,121.569984
1012000165,25.033546,121.53555
1012000193,25.063896,121.52431
1012000226,25.042826,121.56792
1012000462,25.021683,121.555855
1012000909,25.029316,121.52853
1012001380,25.210304,121.66594
1012001889,25.06367,121.562996
1012002012,25.061964,121.558365
1012002336,25.117172,121.533226
1012002750,25.055569,121.55269
1012002864,25.033184,121.5021
1012003314,25.033442,121.54699
1012004107,25.145542,121.50378
1012004415,25.045055,121.56923
1012005095,25.1007,121.5239
1012005352,25.032013,121.55357
1012005445,25.126905,121.50326
1012005458,25.049934,121.569496
1012006146,25.080475,121.58159
1012006495,25.075964,121.58008
1012007346,25.005743,121.53675
1012007774,25.049868,121.50894
1012008215,25.009312,121.53825
1012009013,25.091541,121.51572
1012009947,25.00102,121.57253
1012010453,25.039928,121.57186
1012010542,25.11896,121.51884
1012010590,25.033022,121.500854
1012011090,25.02672,121.54671
1012011160,25.143394,121.498695
1012011274,25.035229,121.552986
1012011400,25.058174,121.56942
1012011594,25.210304,121.66594
1012012269,25.108633,121.53972
1012012376,25.210304,121.66594
1012012406,25.058945,121.575035
1012012531,25.028763,121.55826
1012012635,25.031137,121.566536
1012012905,25.111553,121.51694
1012012969,25.062769,121.542145
1012013307,25.050161,121.55977
1012013586,25.03387,121.57463
1012013813,25.120382,121.46769
1012014076,25.122925,121.46976
1012014149,25.051292,121.516396
1012015082,25.063894,121.53727
1012015930,25.0225,121.55295
1012017178,25.097343,121.51313
1012017282,25.059446,121.60453
1012018278,25.11798,121.49133
1012018340,25.195374,121.607834
1012018374,25.028862,121.49083
1012018653,25.023287,121.532036
1012018682,25.000265,121.59725
1012019181,25.030134,121.50555
1012019734,25.064163,121.51237
1012020145,25.210304,121.66594
1012020194,25.038036,121.57458
1012020203,25.073055,121.51726
1012020622,25.024511,121.499214
1012020754,25.027788,121.55534
1012020867,25.111515,121.56311
1012021052,25.028786,121.55546
1012022066,25.117989,121.51739
1012022290,25.060537,121.55661
1012022413,25.06299,121.52021
1012022604,25.046318,121.57932
1012022904,25.033022,121.500854
1012022983,25.024193,121.54902
1012023042,25.038166,121.58226
1012023252,25.02672,121.54671
1012023283,25.091887,121.519394
1012023549,25.032835,121.51796
1012023900,25.039083,121.579544
1012024269,25.04056,121.49836
1012024290,25.069788,121.61964
1012024346,25.066963,121.51339
1012024483,25.137339,121.50098
1012024571,25.030704,121.544464
1012024669,25.210304,121.66594
1012024750,25.210304,121.66594
1012025155,25.092415,121.57238
1012025230,25.03434,121.56099
1012025576,25.210304,121.66594
1012025920,25.02689,121.518486
1012026060,25.020388,121.528534
1012026148,25.06299,121.52021
1012026910,25.051685,121.52218
1012027042,25.021849,121.53433
1012027254,25.04956,121.56717
1012027295,25.03082,121.50193
1012027781,25.033613,121.53104
1012028311,25.038843,121.54175
1012028336,25.124477,121.475876
1012028459,25.02672,121.54671
1012028542,25.047264,121.586395
1012028727,25.075964,121.58008
1012028920,25.005554,121.5966
1012029562,25.051603,121.586754
1012029778,25.080872,121.5223
1012029859,25.09326,121.50896
1012029908,25.018997,121.49712
1012030277,25.056099,121.55678
1012030807,25.075731,121.57984
1012031028,25.049934,121.569496
1012031143,25.121943,121.515274
1012031902,25.131163,121.50131
1012031938,25.064333,121.52266
1012000117,25.030321,121.54054
1012006075,25.063896,121.52431
1012010344,25.123226,121.52585
1012010346,25.210304,121.66594
1012012771,25.082851,121.58044
1012021731,25.0284,121.51226
1012022185,25.064125,121.52266
1012032568,25.033546,121.53555
1012032721,25.046824,121.585976
1012032773,25.048027,121.57149
1012033053,25.066805,121.5785
1012033772,25.210304,121.66594
1012035163,25.210304,121.66594
1012035183,25.210304,121.66594
1012035687,25.060556,121.548485
