發生時間,車種,Y,X
2013-01-01 00:40:00,普通重型-機車;計程車-小客車;其他人-人,25.04817,121.5302
2013-01-01 00:45:00,計程車-小客車;普通重型-機車;普通重型-機車,25.21030,121.6659
2013-01-01 00:50:00,普通重型-機車,25.08703,121.5585
2013-01-01 00:58:00,計程車-小客車;普通重型-機車;其他人-人,25.05294,121.5577
2013-01-01 01:10:00,自用-小客車;普通重型-機車;普通重型-機車,25.13784,121.4973
2013-01-01 01:30:00,計程車-小客車;普通重型-機車;普通重型-機車,25.03450,121.5504
2013-01-01 01:30:00,自用-小客車;自用-小客車;自用-小客車,25.01058,121.5830
2013-01-01 01:34:00,其他車-其他車;普通重型-機車,25.07120,121.5385
2013-01-01 01:44:00,其他車-其他車;普通重型-機車,25.04641,121.5689
2013-01-01 02:49:00,自用-小客車;普通重型-機車,25.06456,121.6659
2013-01-01 04:00:00,普通重型-機車;計程車-小客車,25.03316,121.5500
2013-01-01 04:30:00,普通重型-機車;計程車-小客車,25.06834,121.5274
2013-01-01 04:37:00,普通重型-機車;自用-小客車;普通重型-機車,25.01959,121.5596
2013-01-01 05:38:00,計程車-小客車;其他人-人,25.07596,121.5801
2013-01-01 05:45:00,普通重型-機車;普通重型-機車;普通重型-機車,25.06291,121.5240
2013-01-01 06:15:00,普通重型-機車;普通重型-機車,25.03082,121.5041
2013-01-01 06:40:00,自用-小客車;普通重型-機車,25.07941,121.5177
2013-01-01 06:45:00,普通重型-機車;行人-人,25.14530,121.5686
2013-01-01 06:50:00,普通重型-機車;遊覽車-大客車,25.10863,121.5397
2013-01-01 09:48:00,普通重型-機車;自用-小客車,25.03265,121.5474
2013-01-01 11:04:00,普通重型-機車;自用-小客車,25.21030,121.5761
2013-01-01 11:50:00,自用-小客車;普通重型-機車,25.03316,121.5500
2013-01-01 11:50:00,自用-小客車;普通重型-機車,25.21030,121.6659
2013-01-01 13:10:00,拖車(架)-其他車;普通重型-機車,25.03108,121.5169
2013-01-01 13:12:00,自用-小客車;自用-小客車;自用-小客車,25.05276,121.5687
2013-01-01 13:40:00,普通重型-機車;自用-小客車,25.12058,121.5233
2013-01-01 14:20:00,遊覽車-大客車;自用-小客車;普通重型-機車,25.08702,121.5591
2013-01-01 16:13:00,自用-小客車;普通重型-機車,25.05953,121.5251
2013-01-01 17:00:00,自用-小客車;行人-人,25.03468,121.5446
2013-01-01 17:15:00,普通重型-機車;行人-人,25.10654,121.5243
2013-01-01 17:30:00,普通重型-機車;腳踏自行車-慢車,25.03302,121.5009
2013-01-01 18:00:00,自用-小客車;普通輕型-機車,25.00127,121.5409
2013-01-01 19:05:00,自用-小客車;普通重型-機車;普通重型-機車,25.07546,121.6033
2013-01-01 19:23:00,普通重型-機車;普通輕型-機車,25.21030,121.6659
2013-01-01 19:25:00,普通重型-機車;普通重型-機車;其他人-人,25.03514,121.5388
2013-01-01 20:00:00,自用-小客車;腳踏自行車-慢車,25.12001,121.5176
2013-01-01 20:14:00,自用-小客車;普通重型-機車,25.05145,121.5710
2013-01-01 20:40:00,普通重型-機車;普通輕型-機車;普通輕型-機車,25.11980,121.5327
2013-01-01 21:55:00,其他車-其他車;普通重型-機車,25.06230,121.5383
2013-01-01 22:10:00,租賃車-小客車;普通重型-機車,25.06991,121.6164
2013-01-01 22:19:00,自用-小客車;行人-人,25.06643,121.5723
2013-01-01 22:27:00,普通重型-機車;普通重型-機車,25.06803,121.5793
2013-01-01 23:10:00,計程車-小客車;普通重型-機車;普通重型-機車;乘客-人,25.08772,121.5204
2013-01-02 01:50:00,計程車-小客車;行人-人,25.01940,121.4954
2013-01-02 07:00:00,普通重型-機車,25.02716,121.5703
2013-01-02 07:45:00,普通重型-機車;普通重型-機車,25.11541,121.5156
2013-01-02 07:46:00,自用-小客車;普通重型-機車,25.05328,121.5695
2013-01-02 07:50:00,計程車-小客車;普通重型-機車;計程車-小客車,25.21030,121.6659
2013-01-02 07:56:00,腳踏自行車-慢車;普通重型-機車,25.11513,121.6286
2013-01-02 08:37:00,普通重型-機車;普通重型-機車;其他人-人,25.04812,121.5507
2013-01-02 08:39:00,其他車-其他車;普通重型-機車,25.06367,121.5630
2013-01-02 08:52:00,計程車-小客車;普通重型-機車,25.02862,121.5692
2013-01-02 09:05:00,普通重型-機車;自用-小客車,25.07315,121.5797
2013-01-02 09:32:00,腳踏自行車-慢車;其他人-人,25.03830,121.5771
2013-01-02 10:10:00,普通重型-機車;普通重型-機車,25.06299,121.5202
2013-01-02 10:13:00,普通重型-機車,25.04848,121.5303
2013-01-02 10:14:00,自用-小客車;普通重型-機車,25.08691,121.5461
2013-01-02 10:30:00,普通重型-機車;普通重型-機車,25.06060,121.5100
2013-01-02 10:32:00,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,25.07004,121.5848
2013-01-02 10:35:00,腳踏自行車-慢車;自用-小貨車,25.02634,121.5388
