發生時間,車種,Y,X
2014-08-01 01:30:00,營業用-小貨車;自用-小客車;營業用-小貨車;營業用-小貨車;營業用-小貨車;自用-小客車,25.06240,121.6029
2014-08-01 06:10:00,普通重型-機車;普通重型-機車,25.02683,121.5554
2014-08-01 08:00:00,自用-小客車;普通重型-機車,25.05418,121.5851
2014-08-01 08:00:00,自用-小客車;普通重型-機車,25.11552,121.5211
2014-08-01 08:00:00,普通重型-機車;計程車-小客車,25.04285,121.5860
2014-08-01 08:05:00,自用-小客車;普通重型-機車,25.07318,121.6101
2014-08-01 08:06:00,普通重型-機車;普通輕型-機車,25.11144,121.5121
2014-08-01 08:10:00,普通重型-機車;自用-小客車;普通輕型-機車,25.21030,121.6659
2014-08-01 08:30:00,普通重型-機車;普通重型-機車,25.10360,121.5256
2014-08-01 08:42:00,自用-小客車;普通重型-機車,25.06031,121.5214
2014-08-01 08:45:00,普通重型-機車;普通重型-機車,25.09657,121.5321
2014-08-01 09:01:00,自用-小客車;普通重型-機車,25.09426,121.5082
2014-08-01 09:12:00,普通重型-機車;自用-小客車,25.03949,121.5068
2014-08-01 09:40:00,普通重型-機車;自用-小客車,25.08317,121.5246
2014-08-01 09:44:00,計程車-小客車;普通重型-機車,25.07526,121.5776
2014-08-01 10:00:00,其他車-其他車;普通重型-機車,25.04803,121.5715
2014-08-01 10:35:00,租賃車-小客車;普通重型-機車,25.04969,121.5353
2014-08-01 10:45:00,普通重型-機車;計程車-小客車,25.04271,121.5669
2014-08-01 10:55:00,普通重型-機車;行人-人,25.06299,121.5202
2014-08-01 11:34:00,普通重型-機車;行人-人,25.05902,121.5551
2014-08-01 11:57:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2014-08-01 12:15:00,普通重型-機車;自用-小客車,25.02156,121.5276
2014-08-01 12:38:00,普通重型-機車;計程車-小客車;民營公車-大客車,25.06795,121.5889
2014-08-01 13:05:00,普通重型-機車;自用-小貨車,25.09073,121.5266
2014-08-01 13:10:00,普通重型-機車;普通重型-機車,25.07596,121.5801
2014-08-01 13:40:00,普通重型-機車;電動自行車-慢車,25.04803,121.5715
2014-08-01 14:00:00,普通重型-機車;自用-小客車,25.07120,121.5385
2014-08-01 14:13:00,普通重型-機車;行人-人,25.11541,121.5156
2014-08-01 14:15:00,自用-小貨車;普通重型-機車;普通重型-機車,25.10580,121.5118
2014-08-01 14:50:00,自用-小客車;普通重型-機車,25.04542,121.5660
2014-08-01 14:50:00,自用-小貨車;普通重型-機車,25.21030,121.6659
2014-08-01 14:55:00,自用-小客車;普通重型-機車,25.12238,121.4978
2014-08-01 15:00:00,自用-小貨車;自用-小貨車;自用-小客車;自用-小客車,25.04994,121.5371
2014-08-01 15:00:00,自用-小客車;普通重型-機車,25.05846,121.5190
2014-08-01 16:00:00,普通重型-機車;普通重型-機車;自用-小客車,25.05013,121.5230
2014-08-01 16:06:00,自用-小貨車;普通重型-機車,25.02929,121.5036
2014-08-01 16:20:00,租賃車-小客車;腳踏自行車-慢車,25.21030,121.6659
2014-08-01 16:30:00,行人-人;普通重型-機車,25.03789,121.5654
2014-08-01 16:37:00,自用-小客車;普通重型-機車,25.07030,121.5905
2014-08-01 17:07:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2014-08-01 17:10:00,普通重型-機車;自用-小客車,25.03466,121.5595
2014-08-01 17:25:00,計程車-小客車;普通重型-機車,25.02769,121.5418
2014-08-01 17:30:00,計程車-小客車;普通重型-機車,25.21030,121.6659
2014-08-01 17:30:00,普通重型-機車;普通重型-機車,25.13828,121.4963
2014-08-01 17:38:00,自用-小客車;普通重型-機車,25.05407,121.6047
2014-08-01 17:40:00,普通重型-機車;自用-小客車,25.05694,121.6213
2014-08-01 18:30:00,普通重型-機車;腳踏自行車-慢車,25.08028,121.5225
2014-08-01 18:40:00,普通重型-機車;普通重型-機車,25.11609,121.5077
2014-08-01 18:42:00,普通重型-機車;普通重型-機車;普通重型-機車,25.00294,121.6000
2014-08-01 18:45:00,普通重型-機車;普通重型-機車,25.00043,121.5683
2014-08-01 19:00:00,自用-小客車;普通重型-機車,25.07993,121.5315
2014-08-01 19:40:00,普通重型-機車;普通重型-機車,25.07984,121.5492
2014-08-01 19:47:00,普通重型-機車;自用-小客車,25.02914,121.5696
2014-08-01 20:14:00,普通重型-機車;遊覽車-大客車,25.05157,121.5343
2014-08-01 20:21:00,普通重型-機車;普通重型-機車,25.06299,121.5202
2014-08-01 21:10:00,自用-小客車;普通輕型-機車,25.11830,121.5304
2014-08-01 21:15:00,普通重型-機車;計程車-小客車,25.11357,121.5113
2014-08-01 21:30:00,腳踏自行車-慢車;腳踏自行車-慢車,25.01637,121.5262
2014-08-01 22:00:00,普通重型-機車;普通重型-機車,25.21741,121.6076
2014-08-01 22:05:00,普通重型-機車;普通重型-機車;普通重型-機車,25.03693,121.5799
2014-08-01 22:25:00,普通重型-機車;計程車-小客車;普通重型-機車,25.03329,121.5455
2014-08-01 23:50:00,普通重型-機車;租賃車-小客車,25.02672,121.5467
2014-08-02 17:54:00,普通重型-機車;其他車-其他車,25.21030,121.6659
2014-08-02 01:10:00,自用-小客車;腳踏自行車-慢車,25.08333,121.5728
2014-08-02 01:45:00,普通重型-機車;普通重型-機車,25.15668,121.5479
2014-08-02 02:00:00,自用-小客車,25.04979,121.5126
2014-08-02 02:15:00,計程車-小客車;普通重型-機車,25.05929,121.5242
2014-08-02 02:15:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2014-08-02 06:00:00,自用-小客車;普通重型-機車,25.15701,121.5501
2014-08-02 07:02:00,自用-小客車;普通重型-機車,25.10081,121.5376
2014-08-02 07:15:00,自用-小貨車;普通重型-機車;腳踏自行車-慢車,25.06423,121.5294
2014-08-02 07:30:00,普通重型-機車;普通重型-機車,25.03925,121.5807
2014-08-02 07:43:00,普通重型-機車;自用-小客車,25.05463,121.5400
2014-08-02 07:45:00,普通重型-機車;普通重型-機車,25.04688,121.5344
2014-08-02 07:55:00,普通輕型-機車;普通重型-機車;普通重型-機車,25.03912,121.5392
2014-08-02 08:00:00,普通重型-機車;行人-人,25.06365,121.5386
2014-08-02 08:45:00,普通重型-機車;普通輕型-機車,25.03355,121.5356
2014-08-02 08:54:00,普通重型-機車,25.07941,121.5177
2014-08-02 09:00:00,自用-小客車;普通重型-機車,25.21030,121.6659
2014-08-02 09:40:00,自用-小客車;普通重型-機車,25.21030,121.6659
2014-08-02 09:40:00,自用-小客車;行人-人,25.08130,121.5806
2014-08-02 10:00:00,租賃車-小客車;民營客運-大客車;乘客-人;乘客-人,25.06456,121.6659
2014-08-02 10:03:00,自用-小客車;自用-小客車;普通重型-機車,25.12966,121.5017
2014-08-02 10:30:00,普通重型-機車;普通重型-機車;普通重型-機車,25.06389,121.5373
2014-08-02 10:53:00,自用-小客車;普通重型-機車,25.11365,121.5368
2014-08-02 12:00:00,普通重型-機車;普通重型-機車,25.12577,121.4681
2014-08-02 12:01:00,自用-小客車;普通重型-機車,25.04629,121.5671
2014-08-02 12:43:00,普通重型-機車;自用-小客車,25.01709,121.5330
2014-08-02 12:53:00,計程車-小客車;普通重型-機車;普通重型-機車,25.06444,121.5542
2014-08-02 13:30:00,自用-小客車;普通重型-機車,25.13929,121.5191
2014-08-02 13:50:00,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,25.08453,121.5256
2014-08-02 14:00:00,普通重型-機車;普通重型-機車,25.04183,121.6219
2014-08-02 15:05:00,自用-小客車;行人-人,25.03719,121.5567
2014-08-02 15:20:00,自用-小客車;普通重型-機車;營業用-小貨車,25.08471,121.5662
2014-08-02 15:35:00,普通重型-機車;普通重型-機車;自用-小客車;自用-小客車;普通重型-機車,25.06787,121.5200
2014-08-02 15:50:00,自用-小客車;行人-人,25.06285,121.5126
2014-08-02 16:05:00,普通重型-機車;普通重型-機車,25.05647,121.5346
2014-08-02 16:50:00,自用-小客車;普通重型-機車,25.04968,121.5655
2014-08-02 17:00:00,自用-小客車;普通重型-機車,25.11785,121.5063
2014-08-02 17:15:00,普通重型-機車;自用-小客車,25.05860,121.5205
2014-08-02 17:19:00,普通重型-機車;普通重型-機車;普通重型-機車,25.01545,121.5401
2014-08-02 18:01:00,普通重型-機車;自用-小客車,25.05322,121.5302
2014-08-02 19:09:00,普通重型-機車;大型重型2-機車;普通重型-機車,25.03243,121.5508
2014-08-02 19:25:00,普通重型-機車;普通重型-機車,25.05129,121.5164
2014-08-02 20:15:00,自用-小客車;普通重型-機車,25.21030,121.6659
2014-08-02 20:31:00,計程車-小客車;普通重型-機車,25.03387,121.5746
2014-08-02 21:30:00,租賃車-小客車;普通重型-機車;普通重型-機車,25.09012,121.5204
2014-08-02 21:55:00,自用-小客車;普通重型-機車,25.03651,121.5461
2014-08-02 22:50:00,普通重型-機車;普通重型-機車,25.08192,121.5245
2014-08-02 23:25:00,計程車-小客車;普通重型-機車;普通重型-機車,25.21030,121.6659
2014-08-02 23:45:00,自用-小客車;普通重型-機車;普通重型-機車,25.12748,121.5343
2014-08-02 23:55:00,普通重型-機車,25.09230,121.5222
2014-08-03 00:25:00,計程車-小客車;普通重型-機車,25.06389,121.5373
2014-08-03 01:10:00,普通重型-機車;計程車-小客車,25.21030,121.6659
2014-08-03 01:50:00,普通重型-機車;自用-小客車,25.21030,121.6659
2014-08-03 02:50:00,計程車-小客車;普通重型-機車,25.06913,121.5121
2014-08-03 05:50:00,計程車-小客車;普通重型-機車,25.02263,121.5015
2014-08-03 06:45:00,計程車-小客車;普通重型-機車,25.05817,121.5694
2014-08-03 07:40:00,自用-小客車;普通重型-機車,25.21030,121.6659
2014-08-03 07:52:00,普通重型-機車;自用-小客車;普通重型-機車,25.07261,121.5611
2014-08-03 07:54:00,計程車-小客車;計程車-小客車;腳踏自行車-慢車,25.21030,121.6659
2014-08-03 08:50:00,民營公車-大客車;普通重型-機車,25.07066,121.5200
2014-08-03 09:26:00,普通輕型-機車;行人-人,25.04581,121.5778
2014-08-03 09:35:00,普通重型-機車;普通重型-機車,25.08573,121.5829
2014-08-03 09:50:00,普通重型-機車;行人-人,25.10738,121.5673
2014-08-03 09:52:00,自用-小客車;普通重型-機車,25.21030,121.6659
2014-08-03 09:55:00,普通重型-機車;自用-小客車,25.03569,121.5469
2014-08-03 10:30:00,其他車-其他車;行人-人,25.00183,121.5405
2014-08-03 10:50:00,自用-小客車;普通重型-機車,25.00551,121.5407
2014-08-03 11:15:00,計程車-小客車;普通重型-機車,25.04893,121.5129
2014-08-03 11:15:00,普通重型-機車;計程車-小客車,25.14187,121.5016
2014-08-03 11:20:00,自用-小客車;普通重型-機車,25.09641,121.5254
2014-08-03 11:22:00,普通重型-機車;普通重型-機車,25.03355,121.5356
2014-08-03 12:18:00,普通重型-機車;普通重型-機車;普通重型-機車,25.08655,121.5233
2014-08-03 13:00:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2014-08-03 13:23:00,普通重型-機車;自用-小客車,25.04239,121.6245
2014-08-03 13:25:00,自用-小客車;普通重型-機車;普通重型-機車,25.10111,121.5512
2014-08-03 14:28:00,自用-小客車;普通重型-機車,25.06834,121.5274
2014-08-03 15:27:00,自用-小客車;普通重型-機車,25.06390,121.5243
2014-08-03 15:45:00,普通重型-機車;自用-小客車,25.07126,121.5155
2014-08-03 16:35:00,自用-小客車;普通重型-機車,25.04049,121.5723
2014-08-03 16:40:00,自用-小客車;普通重型-機車,25.02146,121.5601
2014-08-03 18:25:00,自用-小客車;普通重型-機車,25.02210,121.5496
2014-08-03 18:49:00,自用-小客車;普通重型-機車,25.09850,121.5251
2014-08-03 18:50:00,自用-小客車;普通重型-機車;普通重型-機車,25.09974,121.5279
2014-08-03 19:29:00,普通重型-機車;計程車-小客車;普通重型-機車,25.06485,121.5302
2014-08-03 20:05:00,普通輕型-機車;計程車-小客車;普通輕型-機車,25.02859,121.4952
2014-08-03 20:20:00,自用-小客車;普通重型-機車;普通重型-機車,25.21030,121.6659
2014-08-03 20:20:00,普通重型-機車;普通重型-機車;普通重型-機車,25.08882,121.5276
2014-08-03 21:50:00,自用-小客車;普通重型-機車;普通重型-機車,25.06444,121.5542
2014-08-03 21:59:00,自用-小貨車;普通重型-機車;普通重型-機車,25.06929,121.5411
2014-08-03 22:45:00,普通重型-機車;普通重型-機車;普通重型-機車,25.06947,121.5444
2014-08-03 23:45:00,普通重型-機車;普通重型-機車,25.12121,121.5115
2014-08-04 02:46:00,計程車-小客車;普通重型-機車,25.06390,121.5243
2014-08-04 23:03:00,普通重型-機車,25.12448,121.4759
2014-08-04 00:30:00,普通重型-機車;普通重型-機車,25.03446,121.4992
2014-08-04 01:09:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2014-08-04 07:20:00,自用-小客車;普通重型-機車,25.14457,121.4899
2014-08-04 08:19:00,普通重型-機車;自用-小客車,25.21030,121.6659
2014-08-04 08:25:00,民營公車-大客車;民營公車-大客車;民營公車-大客車;民營公車-大客車;民營公車-大客車;民營公車-大客車;民營公車-大客車;民營公車-大客車,25.08584,121.5998
2014-08-04 08:30:00,普通重型-機車;普通重型-機車,25.06462,121.5465
2014-08-04 08:30:00,普通重型-機車;普通重型-機車,25.04040,121.4972
2014-08-04 08:45:00,普通重型-機車;普通重型-機車,25.05013,121.5230
2014-08-04 09:12:00,計程車-小客車;普通重型-機車;普通重型-機車,25.06444,121.5542
2014-08-04 09:15:00,普通重型-機車;普通重型-機車,25.06310,121.5578
2014-08-04 09:20:00,計程車-小客車;普通輕型-機車;普通輕型-機車,25.05190,121.5831
2014-08-04 10:07:00,腳踏自行車-慢車;行人-人,25.04287,121.5860
