發生時間,車種,Y,X
2015-03-01 15:20:00,民營公車-大客車;普通重型-機車,25.03387,121.5746
2015-03-01 00:08:00,計程車-小客車;普通重型-機車;普通重型-機車,25.09169,121.5183
2015-03-01 00:49:00,自用-小客車;普通重型-機車,25.10790,121.5381
2015-03-01 01:20:00,自用-小貨車;普通重型-機車,25.21030,121.6659
2015-03-01 03:10:00,自用-小貨車;普通重型-機車,25.02849,121.4961
2015-03-01 06:05:00,普通重型-機車;行人-人,25.04725,121.5077
2015-03-01 06:30:00,普通重型-機車;行人-人,25.03989,121.5024
2015-03-01 07:40:00,計程車-小客車;普通重型-機車,25.12672,121.4730
2015-03-01 08:30:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2015-03-01 09:03:00,普通重型-機車;自用-小客車,25.02466,121.5023
2015-03-01 09:25:00,自用-小貨車;普通重型-機車,25.03737,121.5679
2015-03-01 10:17:00,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,25.02987,121.5656
2015-03-01 10:40:00,普通重型-機車;租賃車-小客車,25.02426,121.5480
2015-03-01 10:50:00,計程車-小客車;普通重型-機車;普通重型-機車,25.05769,121.5832
2015-03-01 10:57:00,普通重型-機車;行人-人,25.13171,121.5046
2015-03-01 11:10:00,普通重型-機車;普通重型-機車,25.12439,121.5340
2015-03-01 11:29:00,自用-小客車;普通重型-機車,25.21030,121.6659
2015-03-01 11:48:00,自用-小客車;普通重型-機車;自用-小客車;普通重型-機車,25.21030,121.6659
2015-03-01 11:50:00,自用-小客車;普通重型-機車;自用-小客車,25.05132,121.5456
2015-03-01 12:05:00,自用-小客車;普通重型-機車;普通重型-機車,25.06017,121.5374
2015-03-01 12:15:00,自用-小客車;普通重型-機車;普通重型-機車,25.08201,121.6078
2015-03-01 12:20:00,自用-小客車;普通重型-機車;普通重型-機車,25.02289,121.5260
2015-03-01 12:20:00,普通重型-機車;普通重型-機車;普通重型-機車,25.06368,121.5137
2015-03-01 12:30:00,自用-小客車;普通重型-機車,25.03693,121.5622
2015-03-01 12:35:00,普通重型-機車;自用-小客車;自用-小客車,25.08413,121.6057
2015-03-01 13:31:00,自用-小客車;普通重型-機車;普通重型-機車,25.03759,121.5773
2015-03-01 14:38:00,大型重型2-機車;普通重型-機車,25.06196,121.5584
2015-03-01 15:00:00,自用-小客車;普通輕型-機車,25.10756,121.5236
2015-03-01 16:18:00,自用-小客車;普通重型-機車,25.03327,121.5288
2015-03-01 16:46:00,普通重型-機車;大型重型1-機車,25.06959,121.6176
2015-03-01 17:00:00,普通重型-機車;自用-小貨車;自用-小客車,25.04803,121.5715
2015-03-01 17:17:00,普通重型-機車;自用-小客車,25.03141,121.5667
2015-03-01 18:20:00,普通輕型-機車;普通重型-機車;普通輕型-機車,25.06603,121.5352
2015-03-01 18:20:00,計程車-小客車;普通輕型-機車,25.06834,121.5274
2015-03-01 18:21:00,自用-小客車;普通重型-機車,25.12024,121.5236
2015-03-01 18:47:00,自用-小客車;行人-人,25.09141,121.5198
2015-03-01 20:00:00,普通重型-機車;普通重型-機車;普通重型-機車,25.06389,121.5373
2015-03-01 20:02:00,自用-小客車;普通重型-機車,25.07646,121.5734
2015-03-01 20:05:00,普通重型-機車;行人-人;普通重型-機車,25.08772,121.5204
2015-03-01 20:25:00,自用-小客車;普通重型-機車;普通重型-機車,25.04634,121.5622
2015-03-01 20:40:00,普通重型-機車;計程車-小客車;普通重型-機車,25.08653,121.5601
2015-03-01 21:05:00,自用-小客車;普通重型-機車;普通重型-機車,25.09033,121.5204
