發生時間,車種,Y,X
2012-11-01 00:08:00,計程車-小客車;普通重型-機車,25.05129,121.5164
2012-11-01 01:10:00,普通重型-機車;計程車-小客車,25.05062,121.5666
2012-11-01 02:30:00,自用-小客車;普通輕型-機車,25.09241,121.5724
2012-11-01 04:00:00,計程車-小客車;行人-人,25.21030,121.6659
2012-11-01 04:30:00,自用-小客車,25.02414,121.5356
2012-11-01 05:11:00,自用-小客車;自用-小客車;自用-小客車,25.07510,121.5093
2012-11-01 05:35:00,普通重型-機車;行人-人,25.05011,121.5635
2012-11-01 06:10:00,腳踏自行車-慢車,25.21030,121.6659
2012-11-01 07:15:00,自用-小客車;普通重型-機車,25.06118,121.5808
2012-11-01 07:24:00,自用-小客車;自用-小客車,25.06390,121.5243
2012-11-01 07:45:00,普通輕型-機車;普通重型-機車,25.21030,121.6659
2012-11-01 08:30:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-11-01 08:40:00,普通重型-機車;普通重型-機車,25.09154,121.5157
2012-11-01 08:40:00,普通重型-機車;普通重型-機車,25.06299,121.5202
2012-11-01 08:50:00,普通重型-機車;自用-小貨車,25.06768,121.5392
2012-11-01 08:52:00,租賃車-小客車;普通重型-機車,25.03084,121.5102
2012-11-01 08:55:00,自用-小貨車;普通輕型-機車,25.03468,121.5446
2012-11-01 09:04:00,普通重型-機車,25.03083,121.5704
2012-11-01 09:25:00,普通重型-機車;腳踏自行車-慢車,25.03912,121.5666
2012-11-01 09:55:00,計程車-小客車;普通重型-機車,25.21030,121.6659
2012-11-01 10:00:00,自用-小客車;普通重型-機車,25.13981,121.5014
2012-11-01 10:10:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-11-01 10:30:00,自用-小客車;普通重型-機車,25.06313,121.6156
2012-11-01 10:50:00,自用-小客車;行人-人,25.00094,121.5602
2012-11-01 11:20:00,租賃車-小客車;普通重型-機車,25.21030,121.6659
2012-11-01 11:25:00,普通重型-機車;普通重型-機車,25.02849,121.4961
2012-11-01 12:25:00,普通重型-機車,25.21030,121.6659
2012-11-01 12:30:00,自用-小客車;普通重型-機車,25.07489,121.6054
2012-11-01 12:30:00,租賃車-小客車;普通重型-機車,25.12448,121.4759
2012-11-01 12:44:00,普通重型-機車;自用-小貨車;普通重型-機車,25.06523,121.5331
