發生時間,車種,Y,X
2012-01-01 00:20:00,普通重型-機車;自用-小客車,25.00294,121.6000
2012-01-01 00:57:00,計程車-小客車;普通重型-機車;普通重型-機車,25.08150,121.5219
2012-01-01 01:08:00,普通重型-機車;普通重型-機車,25.05169,121.5560
2012-01-01 01:10:00,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,25.04808,121.5832
2012-01-01 01:30:00,普通重型-機車;自用-小客車,25.09525,121.5263
2012-01-01 02:00:00,計程車-小客車;普通重型-機車;普通重型-機車,25.21030,121.6659
2012-01-01 02:00:00,普通重型-機車;普通重型-機車;普通重型-機車,25.21030,121.6659
2012-01-01 02:20:00,普通重型-機車;普通重型-機車;普通重型-機車,25.04056,121.4984
2012-01-01 02:30:00,普通重型-機車;普通重型-機車;普通重型-機車,25.08838,121.5087
2012-01-01 03:15:00,普通重型-機車,25.22158,121.6272
2012-01-01 03:30:00,普通重型-機車,25.22158,121.6272
2012-01-01 04:10:00,其他車-其他車;普通輕型-機車,25.07120,121.5385
2012-01-01 04:10:00,自用-小貨車;普通重型-機車;普通重型-機車,25.08782,121.5113
2012-01-01 04:55:00,自用-小客車;普通重型-機車;普通重型-機車,25.10506,121.5381
2012-01-01 05:55:00,計程車-小客車;腳踏自行車-慢車,25.03355,121.5356
2012-01-01 06:34:00,自用-小客車;普通輕型-機車,25.06947,121.5444
2012-01-01 06:40:00,計程車-小客車;普通重型-機車,25.04429,121.5543
2012-01-01 07:18:00,普通重型-機車;普通重型-機車;普通重型-機車,25.05016,121.5598
2012-01-01 07:20:00,自用-小客車;腳踏自行車-慢車,25.06390,121.5243
2012-01-01 07:30:00,自用-小客車;普通重型-機車;普通重型-機車,25.02766,121.4947
2012-01-01 07:54:00,自用-小客車;租賃車-小客車;計程車-小客車,25.06162,121.5292
2012-01-01 08:40:00,普通重型-機車;腳踏自行車-慢車;腳踏自行車-慢車;普通重型-機車,25.04283,121.5679
2012-01-01 11:09:00,自用-小客車;普通重型-機車,25.03187,121.5630
2012-01-01 11:27:00,普通重型-機車;租賃車-小客車;普通重型-機車,25.03949,121.5068
2012-01-01 11:55:00,自用-小客車;普通重型-機車,25.05805,121.5957
2012-01-01 12:23:00,自用-小客車;普通重型-機車,25.02672,121.5467
2012-01-01 12:47:00,自用-小客車;普通重型-機車,25.08158,121.5761
2012-01-01 13:30:00,計程車-小客車;普通重型-機車;普通重型-機車;計程車-小客車,25.02468,121.5531
