發生時間,車種,Y,X
2015-04-03 15:12:00,自用-小客車;自用-小客車;自用-小客車;自用-小客車,25.06456,121.6659
2015-04-09 08:21:00,自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小貨車;自用-小客車,25.21030,121.6659
2015-04-09 22:25:00,自用-小客車;自用-大貨車,25.21030,121.6659
2015-04-13 15:35:00,營業用-半聯結車;自用-小客車,25.09241,121.5724
2015-04-18 04:03:00,腳踏自行車-慢車;計程車-小客車,25.04096,121.5661
2015-04-19 09:00:00,自用-小客車,25.21030,121.5761
2015-04-20 10:00:00,自用-大貨車;腳踏自行車-慢車,25.21030,121.6659
2015-04-24 20:00:00,自用-小客車;行人-人,25.06019,121.5314
2015-04-26 05:00:00,計程車-小客車;行人-人,25.13950,121.4881
