發生時間,車種,Y,X
2012-02-01 01:49:00,自用-小客車;自用-小客車;計程車-小客車;自用-小客車;自用-小客車,25.04883,121.5801
2012-02-01 02:55:00,計程車-小客車;普通重型-機車;普通重型-機車,25.02115,121.5324
2012-02-01 05:55:00,計程車-小客車;行人-人,25.02210,121.5496
2012-02-01 06:16:00,自用-小客車;行人-人,25.06834,121.5274
2012-02-01 06:50:00,普通重型-機車;普通重型-機車,25.06389,121.5373
2012-02-01 07:35:00,普通重型-機車;普通輕型-機車,25.05567,121.5840
2012-02-01 08:15:00,自用-小客車;腳踏自行車-慢車,25.02879,121.5555
2012-02-01 08:25:00,普通輕型-機車;普通重型-機車;普通重型-機車,25.21030,121.6659
2012-02-01 08:50:00,自用-小客車;普通輕型-機車,25.12689,121.4708
2012-02-01 09:15:00,自用-小客車;自用-小客車;自用-小客車,25.08028,121.5225
2012-02-01 09:20:00,行人-人;租賃車-小客車,25.05689,121.5097
2012-02-01 09:30:00,普通重型-機車;行人-人,25.13759,121.4995
2012-02-01 09:50:00,自用-小客車;普通重型-機車;普通重型-機車,25.12448,121.4759
2012-02-01 10:00:00,計程車-小客車;普通重型-機車,25.03163,121.5338
2012-02-01 10:15:00,普通重型-機車;自用-小客車,25.21030,121.6659
2012-02-01 10:30:00,計程車-小客車;普通重型-機車,25.21030,121.6659
2012-02-01 11:40:00,普通重型-機車;普通輕型-機車,25.09241,121.5724
2012-02-01 11:40:00,營業用-小貨車;普通重型-機車,25.02296,121.5490
2012-02-01 11:50:00,自用-小客車;普通重型-機車,25.01292,121.5373
2012-02-01 12:10:00,普通重型-機車;普通重型-機車,25.10580,121.5118
2012-02-01 13:09:00,自用-小客車;自用-小客車,25.09417,121.5119
2012-02-01 13:16:00,自用-小客車;普通重型-機車,25.04683,121.5806
2012-02-01 13:30:00,自用-小客車;自用-小客車,25.03302,121.5009
2012-02-01 13:40:00,普通重型-機車;普通重型-機車,25.11033,121.5184
2012-02-01 14:00:00,自用-小客車;普通重型-機車,25.04867,121.5058
2012-02-01 14:10:00,普通重型-機車;計程車-小客車,25.03435,121.5335
2012-02-01 14:21:00,自用-小客車;普通重型-機車;普通重型-機車,25.05836,121.5829
2012-02-01 15:20:00,普通重型-機車;普通重型-機車,25.10218,121.5236
2012-02-01 16:50:00,自用-小客車;自用-小客車,25.06750,121.6148
2012-02-01 18:10:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-02-01 15:30:00,普通重型-機車;計程車-小客車;普通重型-機車,25.03422,121.5731
2012-02-01 16:20:00,自用-小貨車;普通重型-機車;普通重型-機車,25.02183,121.4991
2012-02-01 16:55:00,自用-小客車;普通重型-機車,25.08994,121.5233
2012-02-01 17:20:00,自用-小客車;普通重型-機車,25.08401,121.5785
2012-02-01 17:36:00,普通重型-機車,25.13514,121.5016
2012-02-01 18:10:00,自用-小客車;行人-人,25.07369,121.6118
2012-02-01 18:10:00,自用-小客車;普通重型-機車,25.12998,121.5029
2012-02-01 18:25:00,普通重型-機車;自用-小客車,25.02647,121.5696
2012-02-01 18:30:00,自用-小客車;普通重型-機車,25.04938,121.5566
2012-02-01 18:32:00,普通重型-機車;普通重型-機車,25.06680,121.5785
