Y,X
25.124477,121.475876
25.05943,121.54874
25.05005,121.5954
25.039865,121.543785
25.048605,121.513466
25.071203,121.53847
25.052917,121.57868
25.061562,121.52366
25.064445,121.55415
25.052656,121.51999
25.02527,121.53623
25.035145,121.53882
25.053623,121.52785
25.058603,121.52047
25.04056,121.49836
25.07941,121.51773
25.0489,121.506485
25.098503,121.52513
25.073421,121.612175
25.112148,121.51698
25.070847,121.59262
25.032263,121.55559
25.04661,121.52388
25.068338,121.527374
25.053434,121.53838
25.028343,121.49286
25.210304,121.66594
25.067007,121.51616
25.054403,121.606674
25.054512,121.615524
25.124533,121.46766
25.02672,121.54671
25.083382,121.52297
25.049824,121.51068
25.031168,121.50353
25.156683,121.54791
25.12266,121.49989
25.074707,121.538956
25.027514,121.49821
25.07377,121.60695
25.078737,121.569984
25.05159,121.594185
25.005743,121.53675
25.127733,121.49995
25.087723,121.510994
25.031456,121.563324
25.210304,121.66594
25.108633,121.53972
25.04056,121.49836
25.062302,121.5383
25.210304,121.66594
25.087816,121.51135
25.115528,121.556076
25.037075,121.4998
25.042215,121.50763
25.089737,121.52033
25.080872,121.5223
25.113487,121.530334
25.210304,121.66594
25.059046,121.521454
25.052572,121.50957
25.045418,121.56597
25.13273,121.55192
25.033022,121.500854
25.05875,121.57094
25.210304,121.66594
25.210304,121.66594
25.06456,121.66594
25.115131,121.62859
25.103868,121.501755
25.085882,121.57593
25.037727,121.539764
25.002941,121.600044
25.081505,121.521866
25.051693,121.55596
25.048082,121.583244
25.09525,121.52627
25.210304,121.66594
25.210304,121.66594
25.04056,121.49836
25.088385,121.50868
25.22158,121.62719
25.22158,121.62719
25.071203,121.53847
25.087816,121.51135
25.10506,121.538086
25.033546,121.53555
25.069466,121.544365
25.044289,121.55429
25.050161,121.55977
25.063896,121.52431
25.027662,121.4947
25.061623,121.52916
25.042826,121.56792
25.031868,121.563
25.039495,121.506836
25.058046,121.59569
25.02672,121.54671
25.081581,121.57606
25.024681,121.553085
25.081085,121.52125
25.030125,121.49706
25.042355,121.570045
25.01884,121.53322
25.052204,121.56018
25.021683,121.555855
25.063902,121.5292
25.037321,121.50051
25.041586,121.511284
25.145212,121.48798
25.035023,121.53108
25.123842,121.53161
25.040874,121.558754
25.039865,121.543785
25.210304,121.66594
25.096571,121.532104
25.042952,121.55774
25.110779,121.530685
25.07941,121.51773
25.071293,121.58292
25.087217,121.513626
25.095331,121.49921
25.121214,121.511536
25.124477,121.475876
25.025759,121.551186
25.115414,121.51556
25.142387,121.47611
25.210304,121.66594
25.210304,121.66594
25.063896,121.52431
25.07267,121.58166
25.091135,121.52391
25.06299,121.52021
25.029316,121.52853
25.02776,121.5656
25.035877,121.49444
25.08691,121.5461
25.053076,121.5239
25.041142,121.547424
25.043789,121.58553
