發生時間,車種,Y,X
2013-12-01 05:50:00,自用-小客車;行人-人,25.21030,121.6659
2013-12-01 00:33:00,普通重型-機車;普通重型-機車;普通重型-機車,25.04862,121.5081
2013-12-01 00:50:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2013-12-01 01:25:00,普通重型-機車;計程車-小客車,25.05266,121.5200
2013-12-01 02:38:00,計程車-小客車;普通重型-機車,25.04300,121.5021
2013-12-01 02:40:00,計程車-小客車;普通重型-機車,25.01966,121.5592
2013-12-01 05:07:00,普通重型-機車;普通重型-機車,25.02063,121.5023
2013-12-01 05:15:00,計程車-小客車;普通重型-機車,25.21030,121.6659
2013-12-01 06:33:00,自用-小客車;普通輕型-機車,25.04069,121.5577
2013-12-01 07:40:00,普通重型-機車;普通重型-機車,25.06285,121.5126
2013-12-01 07:40:00,遊覽車-大客車;民營公車-大客車;民營公車-大客車;民營公車-大客車,25.06598,121.5159
2013-12-01 07:55:00,自用-小客車;腳踏自行車-慢車,25.15384,121.5488
2013-12-01 08:00:00,普通重型-機車;普通重型-機車,25.12416,121.5260
2013-12-01 08:50:00,其他車-其他車;普通重型-機車,25.11513,121.6286
2013-12-01 09:00:00,普通重型-機車;腳踏自行車-慢車,25.09870,121.5456
2013-12-01 09:00:00,普通重型-機車,25.07596,121.5801
2013-12-01 10:25:00,自用-小客車;普通重型-機車,25.04701,121.5438
2013-12-01 10:25:00,自用-小客車;行人-人,25.06992,121.5229
2013-12-01 10:26:00,腳踏自行車-慢車;普通重型-機車,25.11448,121.5141
2013-12-01 10:30:00,普通重型-機車,25.05467,121.5087
2013-12-01 11:00:00,普通重型-機車;普通重型-機車,25.06390,121.5243
2013-12-01 11:16:00,自用-小客車;普通重型-機車,25.03915,121.5651
2013-12-01 11:50:00,自用-小客車;普通輕型-機車;普通輕型-機車,25.10360,121.5256
2013-12-01 12:08:00,自用-小貨車;普通重型-機車,25.12887,121.4693
2013-12-01 12:12:00,自用-小貨車;普通重型-機車,25.21030,121.6659
2013-12-01 12:15:00,普通重型-機車;行人-人,25.06365,121.5386
2013-12-01 12:25:00,自用-小客車;普通重型-機車,25.12141,121.5024
2013-12-01 13:10:00,自用-小客車;行人-人,25.00858,121.5390
2013-12-01 13:10:00,自用-小客車;普通輕型-機車,25.21030,121.6659
2013-12-01 13:30:00,其他車-其他車;行人-人,25.07016,121.5785
2013-12-01 14:20:00,自用-小客車;大型重型1-機車,25.21030,121.6659
2013-12-01 14:20:00,腳踏自行車-慢車;行人-人,25.13948,121.4883
2013-12-01 14:30:00,自用-小客車;普通重型-機車,25.10212,121.5932
2013-12-01 14:59:00,普通重型-機車;普通重型-機車,25.04373,121.5687
2013-12-01 15:24:00,自用-小客車;普通重型-機車,25.07749,121.6224
2013-12-01 15:38:00,自用-小客車;普通重型-機車,25.11807,121.5054
2013-12-01 16:35:00,腳踏自行車-慢車;自用-小客車,25.11752,121.5216
2013-12-01 16:52:00,自用-小客車;普通重型-機車,25.03789,121.5609
2013-12-01 17:00:00,其他車-其他車;普通重型-機車;民營公車-大客車,25.05955,121.5371
2013-12-01 17:00:00,普通重型-機車;普通重型-機車;普通重型-機車,25.04919,121.5858
2013-12-01 17:02:00,普通重型-機車;腳踏自行車-慢車;普通重型-機車,25.03302,121.5009
2013-12-01 17:33:00,自用-小客車;腳踏自行車-慢車,25.05976,121.5762
2013-12-01 18:00:00,自用-小客車;普通重型-機車,25.03560,121.5327
2013-12-01 18:50:00,自用-小客車;行人-人,25.21030,121.6659
2013-12-01 19:30:00,普通重型-機車;自用-小客車,25.08426,121.5477
2013-12-01 19:54:00,自用-小客車;普通重型-機車,25.21030,121.6659
2013-12-01 21:00:00,普通重型-機車;普通重型-機車;普通重型-機車,25.12194,121.5153
2013-12-01 21:30:00,普通重型-機車;自用-小客車;普通重型-機車,25.00238,121.5410
2013-12-01 21:40:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2013-12-01 23:07:00,計程車-小客車;普通重型-機車,25.05023,121.5294
2013-12-01 23:23:00,自用-小客車;自用-小客車,25.11229,121.5587
2013-12-02 01:30:00,普通重型-機車;自用-小客車;普通重型-機車,25.03953,121.5490
2013-12-02 06:00:00,民營公車-大客車;普通重型-機車;民營公車-大客車,25.21030,121.6659
2013-12-02 07:10:00,普通重型-機車;普通重型-機車,25.03869,121.5786
2013-12-02 07:40:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2013-12-02 07:55:00,普通重型-機車;行人-人,25.02132,121.4988
2013-12-02 07:57:00,普通重型-機車;行人-人,25.21030,121.6659
2013-12-02 08:15:00,普通重型-機車;普通重型-機車,25.03514,121.5388
2013-12-02 08:33:00,普通重型-機車;行人-人,25.06124,121.5167
2013-12-02 08:40:00,普通重型-機車;普通輕型-機車,25.05103,121.5220
2013-12-02 08:50:00,自用-小貨車;普通重型-機車,25.08252,121.5244
2013-12-02 08:55:00,自用-小客車;行人-人,25.06574,121.5364
2013-12-02 09:03:00,普通重型-機車;自用-小客車,25.07742,121.6155
2013-12-02 09:08:00,普通重型-機車;自用-小客車,25.12249,121.5548
2013-12-02 09:45:00,自用-小客車;其他特種車-特種車,25.21030,121.6659
2013-12-02 10:20:00,自用-小客車;普通重型-機車,25.03993,121.5719
2013-12-02 10:30:00,普通重型-機車;計程車-小客車,25.05700,121.5330
