發生時間,車種,Y,X
2014-06-01 00:10:00,普通重型-機車;自用-小客車,25.12292,121.4698
2014-06-01 00:40:00,計程車-小客車;普通重型-機車,25.21030,121.6659
2014-06-01 01:00:00,普通重型-機車;自用-小客車;普通重型-機車,25.04800,121.5790
2014-06-01 02:00:00,普通重型-機車;普通重型-機車,25.06361,121.5439
2014-06-01 02:28:00,普通重型-機車;計程車-小客車,25.03104,121.5603
2014-06-01 07:05:00,普通重型-機車;自用-小客車,25.08401,121.5785
2014-06-01 07:43:00,普通重型-機車;自用-小客車,25.04424,121.5652
2014-06-01 08:32:00,計程車-小客車;普通重型-機車,25.04734,121.5088
2014-06-01 08:35:00,自用-小客車;普通重型-機車,25.05517,121.5440
2014-06-01 09:05:00,自用-小客車;普通重型-機車,25.04233,121.5221
2014-06-01 10:00:00,普通重型-機車,25.02615,121.5698
2014-06-01 10:05:00,自用-小客車;普通重型-機車,25.08184,121.5913
2014-06-01 10:50:00,自用-小貨車;行人-人,25.08220,121.5786
2014-06-01 11:19:00,普通重型-機車;自用-小客車,25.05434,121.5778
2014-06-01 11:30:00,普通重型-機車;普通重型-機車,25.12000,121.5196
2014-06-01 11:40:00,計程車-小客車;普通重型-機車,25.06390,121.5243
2014-06-01 12:00:00,普通重型-機車;計程車-小客車,25.04215,121.5645
2014-06-01 13:37:00,自用-小客車;普通重型-機車,25.09731,121.5488
2014-06-01 13:55:00,其他車-其他車;普通重型-機車;普通重型-機車,25.21030,121.6659
2014-06-01 14:10:00,普通重型-機車;自用-小客車,25.12904,121.4702
2014-06-01 14:50:00,自用-小客車;普通重型-機車,25.01771,121.5627
2014-06-01 15:05:00,自用-小客車;普通重型-機車,25.06125,121.5671
2014-06-01 15:20:00,普通重型-機車;普通重型-機車,25.11665,121.5190
2014-06-01 15:30:00,租賃車-小客車;普通重型-機車,25.02130,121.5590
2014-06-01 16:22:00,自用-小客車;普通重型-機車;普通重型-機車,25.11017,121.5304
2014-06-01 16:30:00,自用-小貨車;普通重型-機車;普通重型-機車,25.05638,121.5153
2014-06-01 16:50:00,普通重型-機車;租賃車-小客車,25.01576,121.5324
2014-06-01 17:00:00,普通重型-機車;普通重型-機車;自用-小客車,25.03008,121.5659
