發生時間,車種,Y,X
2014-09-01 09:07:00,普通重型-機車;普通重型-機車,25.05422,121.5973
2014-09-01 04:40:00,普通重型-機車;計程車-小客車,25.05023,121.5294
2014-09-01 06:00:00,民營公車-大客車;腳踏自行車-慢車,25.04803,121.5715
2014-09-01 06:25:00,普通重型-機車;普通重型-機車,25.04987,121.5201
2014-09-01 06:36:00,自用-小客車;普通重型-機車,25.11642,121.5073
2014-09-01 07:00:00,計程車-小客車;自用-大貨車,25.05818,121.5152
2014-09-01 07:10:00,普通重型-機車;計程車-小客車,25.21030,121.6659
2014-09-01 07:30:00,民營客運-大客車;民營客運-大客車,25.08548,121.6006
2014-09-01 07:35:00,普通重型-機車;普通重型-機車,25.06255,121.5288
2014-09-01 08:10:00,普通重型-機車;普通重型-機車,25.02221,121.5503
2014-09-01 08:21:00,普通重型-機車;普通重型-機車,25.07941,121.5177
2014-09-01 08:30:00,普通輕型-機車;普通輕型-機車,25.12266,121.4999
2014-09-01 08:45:00,自用-小客車;普通重型-機車,25.02601,121.5134
2014-09-01 09:30:00,計程車-小客車;普通重型-機車,25.21030,121.6659
2014-09-01 10:10:00,自用-大貨車;行人-人,25.08808,121.6195
2014-09-01 10:39:00,普通重型-機車;普通輕型-機車,25.13378,121.5044
2014-09-01 11:00:00,普通重型-機車;大型重型2-機車,25.16872,121.5417
2014-09-01 11:30:00,自用-小貨車;普通重型-機車,25.05813,121.6087
2014-09-01 11:30:00,普通重型-機車;腳踏自行車-慢車,25.04987,121.5810
2014-09-01 12:05:00,普通重型-機車;自用-小客車,25.04485,121.5533
2014-09-01 12:20:00,自用-小貨車;普通重型-機車,25.09114,121.5239
2014-09-01 13:00:00,自用-小貨車;普通重型-機車;計程車-小客車,25.04172,121.5830
2014-09-01 13:40:00,自用-小貨車;行人-人,25.21030,121.6659
2014-09-01 13:40:00,自用-小貨車;普通重型-機車,25.00077,121.5529
2014-09-01 14:10:00,自用-小客車;普通重型-機車,25.11553,121.5561
2014-09-01 14:40:00,普通輕型-機車;行人-人,25.03349,121.5597
2014-09-01 14:56:00,自用-小貨車;普通重型-機車;普通重型-機車;普通重型-機車,25.09154,121.5157
2014-09-01 15:05:00,普通輕型-機車,25.08087,121.5223
2014-09-01 15:09:00,租賃車-小客車;自用-小客車;自用-小客車,25.03457,121.5436
2014-09-01 15:30:00,自用-小貨車;自用-小客車,25.04683,121.5806
2014-09-01 15:35:00,普通重型-機車;普通重型-機車,25.05555,121.5512
2014-09-01 15:53:00,計程車-小客車;普通重型-機車;普通重型-機車,25.06702,121.5331
2014-09-01 16:05:00,自用-小客車;普通重型-機車,25.05362,121.5279
2014-09-01 16:30:00,普通重型-機車,25.05594,121.5335
2014-09-01 16:50:00,普通重型-機車;行人-人,25.21030,121.6659
2014-09-01 16:50:00,普通重型-機車;自用-小客車,25.00203,121.5855
2014-09-01 17:13:00,普通重型-機車;計程車-小客車,25.06874,121.5953
2014-09-01 17:15:00,普通重型-機車;行人-人;普通重型-機車,25.21030,121.6659
2014-09-01 18:00:00,其他車-其他車;普通重型-機車,25.08490,121.5246
2014-09-01 18:40:00,自用-小客車;普通重型-機車;自用-小客車,25.09241,121.5724
2014-09-01 19:00:00,普通重型-機車;腳踏自行車-慢車,25.11249,121.5189
2014-09-01 19:25:00,普通重型-機車;自用-小客車,25.21030,121.6659
2014-09-01 19:50:00,普通重型-機車;普通重型-機車;普通重型-機車,25.12121,121.5115
2014-09-01 20:20:00,普通重型-機車,25.13695,121.4803
2014-09-01 20:27:00,普通重型-機車;普通重型-機車,25.03083,121.5704
2014-09-01 20:30:00,普通重型-機車;普通重型-機車;普通重型-機車,25.21030,121.6659
2014-09-01 20:46:00,普通重型-機車;自用-小客車,25.04803,121.5715
2014-09-01 20:55:00,自用-小客車;普通重型-機車,25.06856,121.6177
2014-09-01 21:32:00,自用-小客車;普通重型-機車,25.08357,121.5823
2014-09-01 21:37:00,普通重型-機車;普通重型-機車;自用-小客車,25.05100,121.5141
2014-09-01 22:50:00,計程車-小客車;普通重型-機車,25.21030,121.6659
2014-09-01 23:15:00,普通重型-機車;腳踏自行車-慢車,25.21030,121.6659
2014-09-01 23:50:00,普通重型-機車,25.06480,121.5089
2014-09-02 01:49:00,自用-大貨車;普通重型-機車;普通重型-機車,25.10081,121.5376
2014-09-02 07:44:00,普通重型-機車;租賃車-小客車,25.21030,121.6659
