發生時間,車種,Y,X
2014-02-01 00:11:00,計程車-小客車;普通重型-機車,25.03820,121.5605
2014-02-01 05:09:00,自用-小客車;自用-小客車,25.11513,121.6286
2014-02-01 05:20:00,自用-小客車;普通重型-機車,25.05129,121.5164
2014-02-01 06:04:00,行人-人;自用-小客車,25.03083,121.5704
2014-02-01 07:20:00,普通重型-機車;計程車-小客車,25.21030,121.6659
2014-02-01 08:58:00,普通重型-機車;自用-小客車,25.07769,121.5106
2014-02-01 10:25:00,普通重型-機車;普通輕型-機車;普通重型-機車,25.21030,121.6659
2014-02-01 11:55:00,自用-小客車;普通重型-機車;普通重型-機車,25.13762,121.5038
2014-02-01 11:58:00,自用-小客車;普通輕型-機車,25.05769,121.5832
2014-02-01 12:30:00,普通重型-機車;自用-小客車,25.02285,121.5596
2014-02-01 13:10:00,普通重型-機車;租賃車-小客車,25.04891,121.5819
2014-02-01 13:40:00,普通重型-機車;普通重型-機車,25.07277,121.5126
2014-02-01 14:21:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2014-02-01 14:23:00,自用-小客車;普通重型-機車;普通重型-機車,25.04755,121.5710
2014-02-01 14:35:00,自用-小客車;普通重型-機車,25.00125,121.5757
2014-02-01 15:25:00,普通輕型-機車;普通重型-機車,25.06285,121.5126
2014-02-01 15:40:00,普通重型-機車;行人-人,25.12182,121.4684
2014-02-01 17:00:00,自用-小客車;普通重型-機車,25.21030,121.6659
2014-02-01 17:05:00,自用-小客車;普通重型-機車,25.05129,121.6172
2014-02-01 17:30:00,自用-小客車;普通重型-機車,25.21030,121.6659
2014-02-01 17:30:00,行人-人;腳踏自行車-慢車,25.01514,121.5323
2014-02-01 17:30:00,自用-小客車;普通重型-機車;自用-小客車;普通重型-機車,25.11947,121.4665
2014-02-01 17:50:00,自用-小客車;普通重型-機車,25.05549,121.6101
2014-02-01 19:20:00,自用-小客車;普通重型-機車,25.05023,121.5294
2014-02-01 20:15:00,自用-小客車;普通輕型-機車,25.02663,121.5227
2014-02-01 20:15:00,自用-小客車;普通重型-機車,25.05098,121.5774
2014-02-01 21:00:00,普通重型-機車;普通輕型-機車;普通輕型-機車,25.02524,121.5183
2014-02-01 21:00:00,自用-小客車;普通重型-機車,25.04186,121.5004
2014-02-01 23:26:00,計程車-小客車;普通重型-機車;普通重型-機車,25.06285,121.5126
2014-02-02 05:00:00,自用-小貨車;普通重型-機車;普通重型-機車,25.06390,121.5243
2014-02-02 02:18:00,自用-小客車;計程車-小客車;計程車-小客車,25.03422,121.5477
2014-02-02 02:51:00,自用-小客車;普通重型-機車,25.09657,121.5321
2014-02-02 07:35:00,計程車-小客車;普通重型-機車,25.03450,121.5504
2014-02-02 08:30:00,普通重型-機車;自用-小客車;普通重型-機車,25.08224,121.5679
2014-02-02 10:29:00,腳踏自行車-慢車;計程車-小客車,25.04030,121.5753
2014-02-02 11:00:00,計程車-小客車;普通重型-機車,25.03083,121.5704
2014-02-02 11:25:00,普通重型-機車,25.21030,121.6659
2014-02-02 11:30:00,自用-小客車;普通重型-機車,25.06819,121.5410
2014-02-02 11:30:00,腳踏自行車-慢車,25.12600,121.4684
2014-02-02 12:20:00,計程車-小客車;普通重型-機車;自用-小客車,25.21030,121.6659
2014-02-02 12:50:00,租賃車-小客車;行人-人,25.13361,121.5037
2014-02-02 12:55:00,普通重型-機車;自用-小客車,25.03474,121.5449
2014-02-02 14:30:00,自用-小客車;普通重型-機車,25.10569,121.5376
2014-02-02 14:48:00,計程車-小客車;腳踏自行車-慢車,25.05266,121.5200
2014-02-02 15:08:00,普通重型-機車;普通重型-機車,25.09579,121.5227
2014-02-02 16:20:00,民營公車-大客車;民營公車-大客車;民營公車-大客車,25.21030,121.6659
2014-02-02 16:58:00,計程車-小客車;普通重型-機車,25.05362,121.5279
2014-02-02 17:53:00,普通重型-機車;自用-小客車,25.05905,121.5553
2014-02-02 18:45:00,普通重型-機車,25.03926,121.5339
2014-02-02 19:15:00,自用-小客車;行人-人;行人-人,25.08078,121.6016
2014-02-02 21:35:00,計程車-小客車;普通重型-機車;普通重型-機車,25.12121,121.5115
2014-02-02 22:15:00,其他車-其他車;普通重型-機車,25.11193,121.5407
2014-02-02 23:00:00,普通重型-機車,25.10279,121.5138
2014-02-03 00:51:00,自用-小客車;計程車-小客車,25.09192,121.5123
2014-02-03 05:20:00,普通重型-機車;普通重型-機車,25.07138,121.6179
2014-02-03 07:17:00,普通重型-機車;普通重型-機車,25.11465,121.5320
2014-02-03 09:50:00,自用-小客車;行人-人;行人-人,25.13266,121.5031
2014-02-03 10:35:00,自用-小客車;自用-小客車,25.07596,121.5801
2014-02-03 10:52:00,自用-小客車;普通重型-機車,25.21030,121.6659
2014-02-03 12:28:00,普通重型-機車;自用-小客車,25.13778,121.4963
2014-02-03 12:30:00,自用-小客車;普通重型-機車;普通重型-機車,25.12152,121.4678
2014-02-03 12:45:00,自用-小客車;自用-小客車;自用-小客車,25.12121,121.5115
2014-02-03 13:05:00,自用-小客車;自用-小客車;自用-小客車;自用-小客車,25.10772,121.5592
2014-02-03 13:10:00,計程車-小客車;普通重型-機車;普通重型-機車,25.03467,121.5449
2014-02-03 14:30:00,計程車-小客車;腳踏自行車-慢車,25.21030,121.6659
2014-02-03 14:40:00,自用-小客車;普通重型-機車,25.13981,121.4932
2014-02-03 15:00:00,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,25.03302,121.5009
2014-02-03 15:27:00,自用-小客車;普通重型-機車;自用-小客車;自用-小貨車,25.06400,121.6114
2014-02-03 15:36:00,普通重型-機車;自用-小客車,25.04307,121.5824
2014-02-03 15:40:00,普通重型-機車;普通重型-機車,25.03532,121.4986
2014-02-03 15:55:00,腳踏自行車-慢車;腳踏自行車-慢車;腳踏自行車-慢車,25.21030,121.6659
2014-02-03 16:34:00,腳踏自行車-慢車;腳踏自行車-慢車,25.03421,121.5604
2014-02-03 16:35:00,自用-小客車;普通重型-機車,25.05060,121.5682
2014-02-03 16:50:00,普通重型-機車;普通重型-機車,25.06517,121.5130
2014-02-03 17:40:00,自用-小客車;大型重型1-機車,25.08401,121.5785
2014-02-03 18:14:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2014-02-03 18:35:00,普通重型-機車;計程車-小客車,25.21030,121.6659
2014-02-03 19:24:00,普通重型-機車;計程車-小客車,25.05759,121.5543
2014-02-03 19:40:00,自用-小客車;自用-小客車;自用-小客車,25.03387,121.5746
2014-02-03 20:17:00,普通重型-機車,25.12121,121.5115
2014-02-03 20:30:00,自用-小客車;普通重型-機車,25.04367,121.5687
2014-02-03 21:10:00,自用-小客車;普通重型-機車,25.04982,121.5107
2014-02-03 21:40:00,自用-小客車;普通重型-機車,25.04891,121.5819
2014-02-03 21:54:00,拼裝車-其他車;行人-人,25.09814,121.5312
2014-02-03 22:09:00,自用-小客車;普通重型-機車,25.07222,121.5708
2014-02-03 22:19:00,自用-小客車;行人-人,25.08703,121.5585
2014-02-03 22:30:00,普通重型-機車;普通重型-機車,25.11801,121.5327
2014-02-03 22:40:00,自用-小客車;普通重型-機車,25.01037,121.5392
2014-02-03 22:40:00,自用-小客車;普通重型-機車,25.03081,121.5065
2014-02-03 23:20:00,計程車-小客車;普通重型-機車;普通重型-機車,25.04616,121.5530
2014-02-04 00:45:00,普通重型-機車;普通重型-機車,25.21030,121.6659
