發生時間,車種,Y,X
2015-02-01 06:31:00,普通重型-機車,25.03640,121.4964
2015-02-01 15:00:00,普通重型-機車;普通重型-機車;普通重型-機車,25.21030,121.6659
2015-02-01 00:38:00,普通重型-機車;自用-小客車;自用-小客車,25.12448,121.4759
2015-02-01 07:00:00,普通重型-機車;普通重型-機車;普通重型-機車,25.06453,121.5102
2015-02-01 09:15:00,普通重型-機車;行人-人,25.21030,121.6659
2015-02-01 09:31:00,普通重型-機車;普通重型-機車;普通重型-機車,25.02359,121.5357
2015-02-01 10:15:00,自用-小客車;普通重型-機車;普通重型-機車,25.01037,121.5392
2015-02-01 10:45:00,自用-小客車;普通重型-機車,25.03992,121.5093
2015-02-01 11:00:00,計程車-小客車;普通重型-機車,25.06540,121.5488
2015-02-01 11:33:00,自用-小客車;普通重型-機車,25.00502,121.5403
2015-02-01 11:40:00,自用-小客車;普通重型-機車,25.21030,121.6659
2015-02-01 12:12:00,自用-小客車;自用-小客車,25.21030,121.6659
2015-02-01 12:13:00,其他車-其他車;普通重型-機車,25.03537,121.5197
2015-02-01 12:22:00,自用-小客車;普通重型-機車;其他人-人,25.06365,121.5386
2015-02-01 12:40:00,普通重型-機車;普通重型-機車;普通重型-機車,25.10580,121.5118
2015-02-01 13:12:00,自用-小客車;普通重型-機車,25.07398,121.5381
2015-02-01 13:20:00,計程車-小客車;普通重型-機車;普通重型-機車,25.21030,121.6659
2015-02-01 13:44:00,普通重型-機車;普通重型-機車,25.03949,121.5068
2015-02-01 14:50:00,自用-小客車;民營客運-大客車;民營客運-大客車,25.04668,121.5763
2015-02-01 15:10:00,普通重型-機車;民營公車-大客車,25.03809,121.5497
2015-02-01 15:20:00,其他車-其他車;普通重型-機車,25.12266,121.4999
2015-02-01 15:40:00,普通重型-機車;自用-小客車;普通重型-機車,25.08167,121.5794
2015-02-01 16:10:00,腳踏自行車-慢車;普通重型-機車,25.06733,121.5858
2015-02-01 16:18:00,自用-小客車;普通重型-機車;普通重型-機車,25.03792,121.5809
2015-02-01 16:50:00,自用-小客車;普通重型-機車,25.12194,121.5153
2015-02-01 17:18:00,自用-小客車;普通重型-機車,25.05211,121.5243
2015-02-01 17:39:00,普通重型-機車;計程車-小客車,25.04818,121.5056
2015-02-01 18:16:00,普通重型-機車;行人-人,25.04164,121.5930
2015-02-01 18:35:00,自用-小客車;普通重型-機車,25.06504,121.5856
2015-02-01 19:07:00,民營公車-大客車;腳踏自行車-慢車,25.03663,121.5798
2015-02-01 19:10:00,普通重型-機車;普通重型-機車,25.12377,121.4861
2015-02-01 20:05:00,自用-小客車;普通重型-機車,25.21030,121.6659
2015-02-01 20:10:00,自用-小客車;腳踏自行車-慢車,25.11582,121.5200
2015-02-01 20:50:00,自用-小客車;普通重型-機車;普通重型-機車,25.06480,121.5089
2015-02-01 21:54:00,計程車-小客車;普通重型-機車;普通重型-機車,25.05148,121.5784
2015-02-01 22:25:00,自用-小客車;行人-人,25.06390,121.5243
2015-02-01 22:55:00,自用-小客車;普通重型-機車,25.06504,121.5856
2015-02-01 23:10:00,普通重型-機車;自用-小客車,25.21030,121.6659
2015-02-02 00:06:00,普通重型-機車;普通重型-機車;普通重型-機車,25.00931,121.5383
2015-02-02 02:52:00,普通重型-機車;普通重型-機車;普通重型-機車,25.11541,121.5156
2015-02-02 06:59:00,營業用-大貨車;自用-小客車,25.12448,121.4759
2015-02-02 07:40:00,計程車-小客車;行人-人,25.09689,121.5275
2015-02-02 07:40:00,普通重型-機車;普通重型-機車;普通重型-機車,25.07941,121.5177
2015-02-02 07:49:00,普通重型-機車;普通重型-機車,25.03514,121.5388
2015-02-02 08:06:00,普通重型-機車;計程車-小客車;自用-小客車,25.02348,121.5534
2015-02-02 08:10:00,普通重型-機車;普通重型-機車,25.04979,121.5126
2015-02-02 08:12:00,普通重型-機車;普通重型-機車,25.03911,121.6266
2015-02-02 08:30:00,普通重型-機車;腳踏自行車-慢車,25.06390,121.5243
2015-02-02 08:30:00,普通重型-機車;普通重型-機車;腳踏自行車-慢車;自用-小客車,25.06860,121.5189
2015-02-02 08:44:00,自用-小客車;普通重型-機車,25.05129,121.5164
2015-02-02 09:40:00,自用-小客車;普通重型-機車,25.11992,121.5704
2015-02-02 09:47:00,營業用-小貨車;普通重型-機車,25.11958,121.5015
2015-02-02 10:08:00,普通重型-機車;自用-小貨車,25.21030,121.6659
2015-02-02 10:12:00,普通重型-機車;普通重型-機車,25.06285,121.5126
2015-02-02 10:30:00,普通重型-機車;計程車-小客車,25.11521,121.5260
2015-02-02 10:40:00,計程車-小客車;腳踏自行車-慢車;計程車-小客車,25.04427,121.5574
2015-02-02 11:15:00,普通重型-機車;普通重型-機車,25.11958,121.5015
2015-02-02 11:40:00,自用-小客車;普通重型-機車,25.09449,121.5504
2015-02-02 11:43:00,自用-小客車;普通重型-機車,25.05518,121.5100
2015-02-02 11:45:00,普通重型-機車;租賃車-小客車,25.05879,121.5468
2015-02-02 12:03:00,計程車-小客車;普通重型-機車;普通重型-機車,25.04384,121.5834
2015-02-02 12:25:00,普通重型-機車;計程車-小客車,25.21030,121.6659
2015-02-02 12:25:00,普通重型-機車;普通重型-機車,25.04364,121.6180
2015-02-02 12:25:00,普通重型-機車,25.13042,121.5013
2015-02-02 12:35:00,普通輕型-機車;計程車-小客車,25.06196,121.5584
2015-02-02 12:48:00,普通重型-機車;自用-小客車,25.04913,121.5605
2015-02-02 12:50:00,自用-小客車;普通重型-機車,25.08338,121.5230
2015-02-02 12:55:00,自用-小貨車;普通重型-機車,25.14554,121.5038
